100 200
1 2 4
1 11 4
2 3 2
2 12 4
3 4 4
3 13 5
4 5 2
4 14 2
5 6 1
5 15 4
6 7 5
6 16 4
7 8 5
7 17 1
8 9 5
8 18 5
9 10 1
9 19 2
10 20 1
11 12 3
11 21 5
12 13 2
12 22 1
13 14 1
13 23 1
14 15 3
14 24 5
15 16 5
15 25 5
16 17 2
16 26 5
17 18 4
17 27 5
18 19 2
18 28 4
19 20 1
19 29 1
20 30 1
21 22 2
21 31 3
22 23 4
22 32 2
23 24 5
23 33 2
24 25 4
24 34 3
25 26 3
25 35 5
26 27 1
26 36 3
27 28 3
27 37 1
28 29 5
28 38 4
29 30 3
29 39 1
30 40 5
31 32 4
31 41 4
32 33 1
32 42 3
33 34 4
33 43 3
34 35 3
34 44 2
35 36 4
35 45 4
36 37 3
36 46 3
37 38 3
37 47 3
38 39 3
38 48 4
39 40 4
39 49 4
40 50 1
41 42 2
41 51 5
42 43 5
42 52 1
43 44 5
43 53 4
44 45 3
44 54 5
45 46 2
45 55 5
46 47 2
46 56 3
47 48 4
47 57 4
48 49 5
48 58 5
49 50 3
49 59 4
50 60 5
51 52 2
51 61 1
52 53 2
52 62 5
53 54 1
53 63 1
54 55 1
54 64 1
55 56 2
55 65 1
56 57 2
56 66 5
57 58 5
57 67 2
58 59 2
58 68 4
59 60 5
59 69 5
60 70 4
61 62 1
61 71 2
62 63 5
62 72 1
63 64 2
63 73 3
64 65 5
64 74 1
65 66 4
65 75 5
66 67 1
66 76 4
67 68 3
67 77 2
68 69 2
68 78 1
69 70 3
69 79 1
70 80 4
71 72 4
71 81 3
72 73 1
72 82 4
73 74 1
73 83 3
74 75 1
74 84 2
75 76 3
75 85 4
76 77 4
76 86 5
77 78 5
77 87 5
78 79 4
78 88 4
79 80 3
79 89 5
80 90 5
81 82 1
81 91 4
82 83 3
82 92 2
83 84 2
83 93 5
84 85 4
84 94 2
85 86 4
85 95 2
86 87 5
86 96 4
87 88 3
87 97 4
88 89 4
88 98 4
89 90 4
89 99 4
90 100 1
91 92 4
92 93 5
93 94 5
94 95 4
95 96 1
96 97 1
97 98 1
98 99 3
99 100 5
1 91 5
2 92 3
3 93 5
4 94 3
5 95 4
6 96 5
7 97 1
8 98 5
9 99 4
10 100 4
1 10 4
11 20 3
21 30 4
31 40 5
41 50 4
51 60 4
61 70 3
71 80 2
81 90 2
91 100 3
