196 392
1 2 2
1 15 5
2 3 1
2 16 4
3 4 5
3 17 5
4 5 3
4 18 3
5 6 2
5 19 2
6 7 3
6 20 3
7 8 3
7 21 1
8 9 2
8 22 2
9 10 3
9 23 2
10 11 3
10 24 5
11 12 2
11 25 1
12 13 5
12 26 2
13 14 3
13 27 5
14 28 4
15 16 1
15 29 5
16 17 1
16 30 2
17 18 1
17 31 2
18 19 3
18 32 5
19 20 3
19 33 5
20 21 4
20 34 3
21 22 4
21 35 4
22 23 1
22 36 2
23 24 4
23 37 2
24 25 4
24 38 2
25 26 5
25 39 5
26 27 3
26 40 4
27 28 5
27 41 3
28 42 1
29 30 1
29 43 2
30 31 3
30 44 3
31 32 5
31 45 4
32 33 2
32 46 4
33 34 1
33 47 2
34 35 4
34 48 4
35 36 5
35 49 2
36 37 1
36 50 1
37 38 1
37 51 5
38 39 5
38 52 3
39 40 5
39 53 4
40 41 4
40 54 4
41 42 2
41 55 5
42 56 1
43 44 4
43 57 3
44 45 4
44 58 4
45 46 2
45 59 3
46 47 1
46 60 4
47 48 4
47 61 5
48 49 3
48 62 5
49 50 5
49 63 3
50 51 3
50 64 4
51 52 2
51 65 3
52 53 5
52 66 3
53 54 2
53 67 4
54 55 4
54 68 1
55 56 1
55 69 4
56 70 3
57 58 2
57 71 2
58 59 1
58 72 5
59 60 2
59 73 4
60 61 4
60 74 4
61 62 2
61 75 5
62 63 4
62 76 2
63 64 4
63 77 2
64 65 2
64 78 4
65 66 5
65 79 4
66 67 4
66 80 4
67 68 3
67 81 3
68 69 4
68 82 5
69 70 5
69 83 1
70 84 3
71 72 2
71 85 4
72 73 2
72 86 2
73 74 1
73 87 4
74 75 5
74 88 5
75 76 4
75 89 2
76 77 1
76 90 4
77 78 2
77 91 4
78 79 1
78 92 3
79 80 4
79 93 1
80 81 4
80 94 2
81 82 5
81 95 1
82 83 3
82 96 2
83 84 5
83 97 3
84 98 5
85 86 2
85 99 3
86 87 2
86 100 4
87 88 2
87 101 4
88 89 4
88 102 3
89 90 4
89 103 2
90 91 4
90 104 1
91 92 2
91 105 3
92 93 4
92 106 2
93 94 3
93 107 5
94 95 4
94 108 2
95 96 5
95 109 1
96 97 2
96 110 3
97 98 1
97 111 4
98 112 1
99 100 3
99 113 4
100 101 3
100 114 5
101 102 4
101 115 4
102 103 1
102 116 2
103 104 4
103 117 1
104 105 1
104 118 3
105 106 2
105 119 3
106 107 4
106 120 4
107 108 3
107 121 4
108 109 1
108 122 1
109 110 4
109 123 1
110 111 4
110 124 3
111 112 4
111 125 5
112 126 3
113 114 4
113 127 2
114 115 1
114 128 3
115 116 4
115 129 1
116 117 5
116 130 5
117 118 2
117 131 3
118 119 1
118 132 2
119 120 2
119 133 2
120 121 3
120 134 2
121 122 1
121 135 3
122 123 3
122 136 4
123 124 3
123 137 3
124 125 3
124 138 2
125 126 2
125 139 3
126 140 4
127 128 1
127 141 4
128 129 1
128 142 5
129 130 2
129 143 3
130 131 4
130 144 3
131 132 1
131 145 3
132 133 5
132 146 1
133 134 2
133 147 4
134 135 2
134 148 5
135 136 1
135 149 5
136 137 2
136 150 3
137 138 5
137 151 3
138 139 5
138 152 4
139 140 3
139 153 4
140 154 4
141 142 1
141 155 3
142 143 4
142 156 2
143 144 4
143 157 1
144 145 3
144 158 5
145 146 3
145 159 4
146 147 2
146 160 2
147 148 1
147 161 3
148 149 2
148 162 5
149 150 5
149 163 5
150 151 5
150 164 2
151 152 5
151 165 5
152 153 4
152 166 2
153 154 4
153 167 3
154 168 5
155 156 4
155 169 1
156 157 2
156 170 5
157 158 5
157 171 3
158 159 3
158 172 4
159 160 3
159 173 4
160 161 5
160 174 4
161 162 2
161 175 2
162 163 2
162 176 4
163 164 3
163 177 5
164 165 1
164 178 5
165 166 1
165 179 3
166 167 3
166 180 2
167 168 2
167 181 3
168 182 5
169 170 4
169 183 1
170 171 4
170 184 5
171 172 1
171 185 5
172 173 1
172 186 1
173 174 1
173 187 1
174 175 3
174 188 5
175 176 2
175 189 1
176 177 1
176 190 2
177 178 3
177 191 5
178 179 4
178 192 4
179 180 5
179 193 4
180 181 3
180 194 2
181 182 3
181 195 2
182 196 4
183 184 3
184 185 2
185 186 5
186 187 4
187 188 5
188 189 3
189 190 5
190 191 1
191 192 4
192 193 5
193 194 1
194 195 2
195 196 2
1 183 5
2 184 4
3 185 2
4 186 5
5 187 5
6 188 2
7 189 2
8 190 5
9 191 2
10 192 2
11 193 2
12 194 5
13 195 3
14 196 3
1 14 4
15 28 2
29 42 5
43 56 3
57 70 4
71 84 4
85 98 1
99 112 1
113 126 3
127 140 3
141 154 3
155 168 5
169 182 4
183 196 2
