100 200
1 2 4
1 11 1
2 3 5
2 12 1
3 4 1
3 13 3
4 5 4
4 14 1
5 6 5
5 15 4
6 7 1
6 16 3
7 8 2
7 17 1
8 9 3
8 18 3
9 10 2
9 19 1
10 20 1
11 12 1
11 21 2
12 13 5
12 22 3
13 14 3
13 23 4
14 15 1
14 24 2
15 16 4
15 25 2
16 17 2
16 26 3
17 18 1
17 27 3
18 19 2
18 28 2
19 20 5
19 29 5
20 30 2
21 22 1
21 31 5
22 23 2
22 32 4
23 24 1
23 33 1
24 25 1
24 34 3
25 26 4
25 35 3
26 27 3
26 36 3
27 28 3
27 37 2
28 29 1
28 38 5
29 30 4
29 39 5
30 40 4
31 32 4
31 41 3
32 33 5
32 42 1
33 34 1
33 43 2
34 35 5
34 44 5
35 36 5
35 45 4
36 37 2
36 46 3
37 38 3
37 47 3
38 39 3
38 48 4
39 40 4
39 49 4
40 50 2
41 42 5
41 51 4
42 43 1
42 52 5
43 44 5
43 53 3
44 45 2
44 54 5
45 46 1
45 55 5
46 47 2
46 56 4
47 48 1
47 57 2
48 49 1
48 58 3
49 50 4
49 59 1
50 60 3
51 52 2
51 61 3
52 53 3
52 62 2
53 54 4
53 63 1
54 55 4
54 64 4
55 56 5
55 65 1
56 57 5
56 66 3
57 58 5
57 67 5
58 59 5
58 68 1
59 60 2
59 69 3
60 70 5
61 62 1
61 71 2
62 63 3
62 72 5
63 64 2
63 73 3
64 65 1
64 74 2
65 66 2
65 75 3
66 67 1
66 76 4
67 68 1
67 77 4
68 69 1
68 78 2
69 70 5
69 79 4
70 80 5
71 72 4
71 81 5
72 73 5
72 82 2
73 74 5
73 83 1
74 75 3
74 84 5
75 76 5
75 85 5
76 77 5
76 86 2
77 78 1
77 87 1
78 79 2
78 88 3
79 80 5
79 89 1
80 90 4
81 82 1
81 91 3
82 83 2
82 92 1
83 84 4
83 93 5
84 85 3
84 94 2
85 86 3
85 95 2
86 87 3
86 96 3
87 88 4
87 97 2
88 89 5
88 98 3
89 90 2
89 99 4
90 100 1
91 92 3
92 93 5
93 94 2
94 95 2
95 96 3
96 97 2
97 98 1
98 99 5
99 100 4
1 91 3
2 92 5
3 93 5
4 94 3
5 95 2
6 96 4
7 97 4
8 98 1
9 99 1
10 100 5
1 10 5
11 20 5
21 30 1
31 40 5
41 50 5
51 60 2
61 70 5
71 80 5
81 90 4
91 100 2
