196 392
1 2 1
1 15 2
2 3 4
2 16 2
3 4 4
3 17 5
4 5 3
4 18 1
5 6 4
5 19 4
6 7 3
6 20 4
7 8 2
7 21 2
8 9 3
8 22 5
9 10 3
9 23 4
10 11 2
10 24 2
11 12 3
11 25 5
12 13 4
12 26 3
13 14 4
13 27 3
14 28 1
15 16 5
15 29 2
16 17 5
16 30 4
17 18 4
17 31 5
18 19 4
18 32 2
19 20 4
19 33 2
20 21 1
20 34 3
21 22 2
21 35 3
22 23 3
22 36 4
23 24 1
23 37 2
24 25 3
24 38 1
25 26 4
25 39 5
26 27 5
26 40 3
27 28 3
27 41 4
28 42 5
29 30 5
29 43 5
30 31 3
30 44 1
31 32 5
31 45 1
32 33 3
32 46 2
33 34 5
33 47 4
34 35 3
34 48 4
35 36 1
35 49 1
36 37 2
36 50 5
37 38 3
37 51 3
38 39 1
38 52 4
39 40 2
39 53 5
40 41 5
40 54 5
41 42 4
41 55 5
42 56 5
43 44 2
43 57 1
44 45 2
44 58 5
45 46 1
45 59 3
46 47 3
46 60 1
47 48 4
47 61 5
48 49 5
48 62 5
49 50 4
49 63 5
50 51 3
50 64 1
51 52 1
51 65 2
52 53 1
52 66 5
53 54 1
53 67 5
54 55 5
54 68 4
55 56 4
55 69 3
56 70 2
57 58 4
57 71 2
58 59 1
58 72 2
59 60 2
59 73 2
60 61 4
60 74 2
61 62 5
61 75 2
62 63 3
62 76 5
63 64 1
63 77 1
64 65 5
64 78 2
65 66 1
65 79 4
66 67 2
66 80 1
67 68 1
67 81 1
68 69 4
68 82 4
69 70 3
69 83 2
70 84 5
71 72 5
71 85 5
72 73 4
72 86 2
73 74 4
73 87 1
74 75 1
74 88 3
75 76 1
75 89 3
76 77 4
76 90 5
77 78 4
77 91 5
78 79 5
78 92 4
79 80 2
79 93 2
80 81 5
80 94 3
81 82 1
81 95 3
82 83 4
82 96 3
83 84 4
83 97 4
84 98 5
85 86 2
85 99 1
86 87 1
86 100 3
87 88 3
87 101 3
88 89 1
88 102 5
89 90 1
89 103 2
90 91 4
90 104 5
91 92 3
91 105 5
92 93 3
92 106 1
93 94 2
93 107 1
94 95 1
94 108 2
95 96 4
95 109 4
96 97 1
96 110 3
97 98 5
97 111 5
98 112 1
99 100 3
99 113 1
100 101 1
100 114 4
101 102 2
101 115 5
102 103 4
102 116 5
103 104 5
103 117 2
104 105 5
104 118 5
105 106 5
105 119 3
106 107 1
106 120 4
107 108 3
107 121 5
108 109 2
108 122 1
109 110 1
109 123 2
110 111 1
110 124 5
111 112 4
111 125 3
112 126 1
113 114 3
113 127 2
114 115 2
114 128 5
115 116 3
115 129 5
116 117 5
116 130 3
117 118 5
117 131 3
118 119 5
118 132 4
119 120 2
119 133 5
120 121 3
120 134 5
121 122 3
121 135 4
122 123 2
122 136 5
123 124 2
123 137 4
124 125 4
124 138 4
125 126 2
125 139 2
126 140 4
127 128 3
127 141 5
128 129 2
128 142 4
129 130 5
129 143 5
130 131 3
130 144 5
131 132 4
131 145 4
132 133 2
132 146 4
133 134 3
133 147 4
134 135 1
134 148 2
135 136 4
135 149 3
136 137 3
136 150 4
137 138 2
137 151 5
138 139 1
138 152 2
139 140 3
139 153 3
140 154 5
141 142 4
141 155 4
142 143 2
142 156 5
143 144 3
143 157 4
144 145 3
144 158 2
145 146 3
145 159 3
146 147 3
146 160 3
147 148 3
147 161 1
148 149 3
148 162 3
149 150 1
149 163 2
150 151 3
150 164 1
151 152 1
151 165 3
152 153 2
152 166 2
153 154 1
153 167 5
154 168 5
155 156 1
155 169 5
156 157 2
156 170 2
157 158 5
157 171 3
158 159 5
158 172 1
159 160 4
159 173 2
160 161 2
160 174 4
161 162 5
161 175 2
162 163 3
162 176 3
163 164 1
163 177 3
164 165 4
164 178 3
165 166 5
165 179 5
166 167 1
166 180 3
167 168 3
167 181 2
168 182 5
169 170 4
169 183 3
170 171 2
170 184 4
171 172 3
171 185 3
172 173 4
172 186 4
173 174 1
173 187 5
174 175 5
174 188 3
175 176 1
175 189 1
176 177 3
176 190 5
177 178 2
177 191 4
178 179 4
178 192 4
179 180 3
179 193 2
180 181 1
180 194 3
181 182 1
181 195 1
182 196 5
183 184 3
184 185 4
185 186 3
186 187 5
187 188 5
188 189 5
189 190 1
190 191 4
191 192 4
192 193 1
193 194 1
194 195 3
195 196 5
1 183 1
2 184 4
3 185 4
4 186 1
5 187 2
6 188 3
7 189 2
8 190 3
9 191 1
10 192 5
11 193 4
12 194 3
13 195 3
14 196 5
1 14 1
15 28 2
29 42 3
43 56 1
57 70 3
71 84 1
85 98 1
99 112 4
113 126 2
127 140 2
141 154 5
155 168 3
169 182 4
183 196 3
