49 98
1 2 4
1 8 2
2 3 1
2 9 3
3 4 5
3 10 5
4 5 2
4 11 4
5 6 1
5 12 5
6 7 3
6 13 3
7 14 4
8 9 1
8 15 2
9 10 2
9 16 4
10 11 2
10 17 4
11 12 5
11 18 2
12 13 2
12 19 1
13 14 1
13 20 5
14 21 1
15 16 1
15 22 3
16 17 4
16 23 4
17 18 1
17 24 3
18 19 2
18 25 1
19 20 1
19 26 3
20 21 3
20 27 3
21 28 4
22 23 4
22 29 2
23 24 4
23 30 5
24 25 1
24 31 1
25 26 5
25 32 2
26 27 2
26 33 5
27 28 3
27 34 4
28 35 3
29 30 3
29 36 2
30 31 1
30 37 2
31 32 5
31 38 1
32 33 1
32 39 1
33 34 4
33 40 3
34 35 3
34 41 4
35 42 5
36 37 1
36 43 3
37 38 1
37 44 5
38 39 5
38 45 4
39 40 5
39 46 3
40 41 3
40 47 3
41 42 5
41 48 5
42 49 4
43 44 4
44 45 1
45 46 1
46 47 4
47 48 2
48 49 4
1 43 5
2 44 3
3 45 1
4 46 1
5 47 1
6 48 5
7 49 1
1 7 2
8 14 3
15 21 4
22 28 5
29 35 3
36 42 3
43 49 1
