196 392
1 2 1
1 15 5
2 3 5
2 16 2
3 4 4
3 17 5
4 5 5
4 18 2
5 6 2
5 19 3
6 7 2
6 20 4
7 8 3
7 21 1
8 9 3
8 22 3
9 10 4
9 23 1
10 11 1
10 24 4
11 12 1
11 25 3
12 13 3
12 26 1
13 14 4
13 27 5
14 28 5
15 16 5
15 29 2
16 17 4
16 30 4
17 18 5
17 31 4
18 19 5
18 32 2
19 20 1
19 33 5
20 21 4
20 34 2
21 22 4
21 35 2
22 23 5
22 36 2
23 24 2
23 37 1
24 25 3
24 38 4
25 26 2
25 39 2
26 27 4
26 40 3
27 28 4
27 41 1
28 42 2
29 30 3
29 43 1
30 31 3
30 44 2
31 32 1
31 45 1
32 33 3
32 46 2
33 34 2
33 47 2
34 35 2
34 48 4
35 36 2
35 49 4
36 37 4
36 50 5
37 38 2
37 51 5
38 39 3
38 52 3
39 40 2
39 53 3
40 41 1
40 54 4
41 42 3
41 55 1
42 56 1
43 44 1
43 57 2
44 45 1
44 58 4
45 46 1
45 59 2
46 47 5
46 60 1
47 48 4
47 61 3
48 49 2
48 62 3
49 50 4
49 63 2
50 51 2
50 64 4
51 52 4
51 65 2
52 53 3
52 66 5
53 54 1
53 67 2
54 55 3
54 68 5
55 56 5
55 69 4
56 70 1
57 58 4
57 71 3
58 59 2
58 72 1
59 60 4
59 73 4
60 61 4
60 74 5
61 62 3
61 75 3
62 63 1
62 76 4
63 64 2
63 77 4
64 65 5
64 78 4
65 66 3
65 79 2
66 67 1
66 80 5
67 68 5
67 81 3
68 69 4
68 82 5
69 70 1
69 83 5
70 84 2
71 72 5
71 85 2
72 73 1
72 86 1
73 74 4
73 87 2
74 75 5
74 88 1
75 76 4
75 89 3
76 77 1
76 90 2
77 78 5
77 91 4
78 79 3
78 92 5
79 80 4
79 93 1
80 81 2
80 94 3
81 82 2
81 95 5
82 83 1
82 96 4
83 84 2
83 97 3
84 98 2
85 86 3
85 99 3
86 87 2
86 100 3
87 88 1
87 101 1
88 89 1
88 102 3
89 90 5
89 103 1
90 91 3
90 104 3
91 92 1
91 105 5
92 93 3
92 106 3
93 94 5
93 107 4
94 95 2
94 108 2
95 96 2
95 109 2
96 97 3
96 110 5
97 98 1
97 111 3
98 112 4
99 100 3
99 113 2
100 101 1
100 114 3
101 102 5
101 115 2
102 103 5
102 116 3
103 104 1
103 117 3
104 105 4
104 118 1
105 106 2
105 119 4
106 107 5
106 120 1
107 108 1
107 121 5
108 109 2
108 122 2
109 110 4
109 123 2
110 111 2
110 124 4
111 112 5
111 125 3
112 126 1
113 114 2
113 127 1
114 115 2
114 128 5
115 116 1
115 129 5
116 117 5
116 130 5
117 118 3
117 131 5
118 119 5
118 132 4
119 120 1
119 133 5
120 121 4
120 134 1
121 122 3
121 135 3
122 123 3
122 136 4
123 124 4
123 137 1
124 125 4
124 138 2
125 126 1
125 139 4
126 140 3
127 128 2
127 141 5
128 129 2
128 142 1
129 130 3
129 143 2
130 131 3
130 144 3
131 132 4
131 145 3
132 133 4
132 146 2
133 134 4
133 147 1
134 135 3
134 148 2
135 136 1
135 149 1
136 137 5
136 150 4
137 138 1
137 151 4
138 139 2
138 152 4
139 140 1
139 153 3
140 154 1
141 142 5
141 155 4
142 143 5
142 156 4
143 144 2
143 157 2
144 145 4
144 158 1
145 146 2
145 159 2
146 147 4
146 160 1
147 148 1
147 161 5
148 149 5
148 162 1
149 150 4
149 163 5
150 151 4
150 164 1
151 152 5
151 165 3
152 153 3
152 166 4
153 154 2
153 167 5
154 168 1
155 156 1
155 169 2
156 157 2
156 170 1
157 158 1
157 171 2
158 159 1
158 172 2
159 160 4
159 173 3
160 161 4
160 174 4
161 162 4
161 175 5
162 163 4
162 176 2
163 164 2
163 177 3
164 165 5
164 178 3
165 166 2
165 179 3
166 167 5
166 180 3
167 168 1
167 181 4
168 182 3
169 170 4
169 183 1
170 171 2
170 184 4
171 172 2
171 185 1
172 173 1
172 186 2
173 174 5
173 187 4
174 175 2
174 188 4
175 176 5
175 189 1
176 177 4
176 190 3
177 178 3
177 191 1
178 179 1
178 192 1
179 180 4
179 193 1
180 181 4
180 194 2
181 182 2
181 195 3
182 196 1
183 184 1
184 185 3
185 186 5
186 187 2
187 188 2
188 189 3
189 190 3
190 191 5
191 192 5
192 193 2
193 194 5
194 195 5
195 196 2
1 183 2
2 184 2
3 185 5
4 186 4
5 187 4
6 188 4
7 189 4
8 190 1
9 191 5
10 192 4
11 193 5
12 194 2
13 195 5
14 196 2
1 14 4
15 28 5
29 42 5
43 56 4
57 70 4
71 84 2
85 98 2
99 112 5
113 126 2
127 140 5
141 154 3
155 168 3
169 182 3
183 196 3
