196 392
1 2 4
1 15 5
2 3 1
2 16 5
3 4 3
3 17 2
4 5 3
4 18 3
5 6 1
5 19 1
6 7 4
6 20 2
7 8 1
7 21 3
8 9 4
8 22 3
9 10 1
9 23 4
10 11 4
10 24 5
11 12 3
11 25 2
12 13 1
12 26 2
13 14 2
13 27 5
14 28 1
15 16 4
15 29 5
16 17 1
16 30 1
17 18 3
17 31 4
18 19 3
18 32 1
19 20 1
19 33 3
20 21 3
20 34 1
21 22 3
21 35 2
22 23 3
22 36 2
23 24 1
23 37 3
24 25 1
24 38 2
25 26 4
25 39 5
26 27 5
26 40 2
27 28 4
27 41 2
28 42 4
29 30 1
29 43 3
30 31 2
30 44 3
31 32 4
31 45 2
32 33 2
32 46 5
33 34 4
33 47 3
34 35 2
34 48 4
35 36 2
35 49 4
36 37 2
36 50 2
37 38 1
37 51 2
38 39 3
38 52 1
39 40 1
39 53 4
40 41 3
40 54 5
41 42 2
41 55 4
42 56 5
43 44 2
43 57 5
44 45 5
44 58 4
45 46 4
45 59 2
46 47 1
46 60 5
47 48 4
47 61 5
48 49 5
48 62 2
49 50 2
49 63 1
50 51 3
50 64 1
51 52 4
51 65 4
52 53 5
52 66 1
53 54 1
53 67 1
54 55 3
54 68 5
55 56 1
55 69 2
56 70 5
57 58 3
57 71 2
58 59 3
58 72 3
59 60 1
59 73 1
60 61 5
60 74 2
61 62 4
61 75 3
62 63 1
62 76 3
63 64 1
63 77 4
64 65 3
64 78 5
65 66 5
65 79 3
66 67 3
66 80 1
67 68 2
67 81 2
68 69 1
68 82 1
69 70 2
69 83 5
70 84 2
71 72 1
71 85 1
72 73 2
72 86 2
73 74 4
73 87 2
74 75 4
74 88 4
75 76 5
75 89 5
76 77 5
76 90 1
77 78 5
77 91 5
78 79 5
78 92 3
79 80 5
79 93 3
80 81 1
80 94 4
81 82 5
81 95 5
82 83 5
82 96 2
83 84 2
83 97 1
84 98 3
85 86 2
85 99 3
86 87 1
86 100 5
87 88 4
87 101 5
88 89 3
88 102 2
89 90 1
89 103 5
90 91 5
90 104 4
91 92 5
91 105 5
92 93 1
92 106 3
93 94 2
93 107 3
94 95 1
94 108 5
95 96 1
95 109 5
96 97 3
96 110 2
97 98 2
97 111 2
98 112 4
99 100 3
99 113 5
100 101 4
100 114 1
101 102 3
101 115 4
102 103 1
102 116 3
103 104 5
103 117 5
104 105 3
104 118 2
105 106 4
105 119 2
106 107 5
106 120 5
107 108 3
107 121 2
108 109 4
108 122 4
109 110 1
109 123 5
110 111 4
110 124 5
111 112 3
111 125 2
112 126 1
113 114 4
113 127 5
114 115 4
114 128 5
115 116 1
115 129 1
116 117 2
116 130 4
117 118 4
117 131 1
118 119 3
118 132 5
119 120 1
119 133 3
120 121 5
120 134 4
121 122 4
121 135 3
122 123 5
122 136 5
123 124 2
123 137 5
124 125 1
124 138 5
125 126 1
125 139 5
126 140 4
127 128 5
127 141 4
128 129 3
128 142 3
129 130 5
129 143 5
130 131 3
130 144 2
131 132 4
131 145 3
132 133 3
132 146 3
133 134 2
133 147 4
134 135 3
134 148 3
135 136 3
135 149 2
136 137 2
136 150 4
137 138 2
137 151 3
138 139 2
138 152 2
139 140 3
139 153 3
140 154 5
141 142 3
141 155 2
142 143 3
142 156 4
143 144 1
143 157 3
144 145 3
144 158 4
145 146 1
145 159 5
146 147 2
146 160 1
147 148 5
147 161 5
148 149 1
148 162 5
149 150 2
149 163 4
150 151 4
150 164 2
151 152 5
151 165 5
152 153 1
152 166 3
153 154 3
153 167 1
154 168 1
155 156 3
155 169 5
156 157 3
156 170 5
157 158 1
157 171 2
158 159 4
158 172 2
159 160 3
159 173 3
160 161 2
160 174 3
161 162 4
161 175 5
162 163 3
162 176 1
163 164 5
163 177 1
164 165 4
164 178 2
165 166 5
165 179 5
166 167 3
166 180 2
167 168 3
167 181 5
168 182 2
169 170 2
169 183 4
170 171 5
170 184 1
171 172 4
171 185 2
172 173 3
172 186 3
173 174 1
173 187 5
174 175 4
174 188 3
175 176 5
175 189 3
176 177 1
176 190 5
177 178 3
177 191 2
178 179 1
178 192 3
179 180 3
179 193 2
180 181 4
180 194 2
181 182 1
181 195 5
182 196 3
183 184 1
184 185 3
185 186 2
186 187 1
187 188 2
188 189 2
189 190 4
190 191 3
191 192 3
192 193 1
193 194 2
194 195 4
195 196 5
1 183 3
2 184 3
3 185 2
4 186 2
5 187 1
6 188 2
7 189 5
8 190 5
9 191 3
10 192 1
11 193 3
12 194 4
13 195 5
14 196 3
1 14 2
15 28 2
29 42 4
43 56 3
57 70 2
71 84 2
85 98 5
99 112 3
113 126 5
127 140 3
141 154 5
155 168 5
169 182 4
183 196 2
