196 392
1 2 4
1 15 4
2 3 3
2 16 1
3 4 3
3 17 4
4 5 4
4 18 3
5 6 1
5 19 1
6 7 4
6 20 5
7 8 1
7 21 2
8 9 5
8 22 3
9 10 5
9 23 5
10 11 2
10 24 3
11 12 5
11 25 2
12 13 1
12 26 1
13 14 1
13 27 3
14 28 5
15 16 4
15 29 2
16 17 5
16 30 5
17 18 3
17 31 3
18 19 3
18 32 1
19 20 5
19 33 4
20 21 3
20 34 4
21 22 3
21 35 2
22 23 2
22 36 4
23 24 4
23 37 1
24 25 4
24 38 5
25 26 5
25 39 3
26 27 4
26 40 2
27 28 4
27 41 2
28 42 5
29 30 5
29 43 5
30 31 1
30 44 3
31 32 2
31 45 4
32 33 3
32 46 2
33 34 2
33 47 4
34 35 3
34 48 4
35 36 5
35 49 4
36 37 3
36 50 4
37 38 1
37 51 5
38 39 2
38 52 2
39 40 3
39 53 1
40 41 1
40 54 4
41 42 4
41 55 3
42 56 5
43 44 4
43 57 4
44 45 5
44 58 5
45 46 5
45 59 2
46 47 1
46 60 2
47 48 5
47 61 4
48 49 1
48 62 5
49 50 5
49 63 4
50 51 2
50 64 5
51 52 4
51 65 5
52 53 2
52 66 4
53 54 1
53 67 4
54 55 2
54 68 3
55 56 5
55 69 3
56 70 3
57 58 4
57 71 4
58 59 3
58 72 1
59 60 3
59 73 5
60 61 2
60 74 2
61 62 3
61 75 4
62 63 2
62 76 4
63 64 2
63 77 2
64 65 2
64 78 4
65 66 2
65 79 3
66 67 2
66 80 3
67 68 2
67 81 5
68 69 2
68 82 2
69 70 4
69 83 5
70 84 4
71 72 1
71 85 4
72 73 1
72 86 4
73 74 1
73 87 5
74 75 3
74 88 2
75 76 4
75 89 5
76 77 5
76 90 4
77 78 4
77 91 2
78 79 5
78 92 2
79 80 3
79 93 3
80 81 1
80 94 5
81 82 1
81 95 1
82 83 1
82 96 2
83 84 4
83 97 1
84 98 4
85 86 3
85 99 3
86 87 4
86 100 5
87 88 3
87 101 2
88 89 3
88 102 3
89 90 5
89 103 2
90 91 4
90 104 2
91 92 1
91 105 3
92 93 1
92 106 3
93 94 5
93 107 3
94 95 5
94 108 3
95 96 1
95 109 2
96 97 3
96 110 4
97 98 1
97 111 5
98 112 4
99 100 5
99 113 1
100 101 4
100 114 5
101 102 4
101 115 4
102 103 2
102 116 1
103 104 5
103 117 3
104 105 2
104 118 1
105 106 5
105 119 4
106 107 4
106 120 1
107 108 2
107 121 4
108 109 5
108 122 2
109 110 5
109 123 3
110 111 2
110 124 2
111 112 2
111 125 3
112 126 5
113 114 3
113 127 1
114 115 1
114 128 1
115 116 1
115 129 3
116 117 4
116 130 2
117 118 3
117 131 3
118 119 4
118 132 4
119 120 2
119 133 4
120 121 4
120 134 5
121 122 3
121 135 5
122 123 4
122 136 1
123 124 5
123 137 4
124 125 4
124 138 1
125 126 2
125 139 5
126 140 1
127 128 3
127 141 1
128 129 4
128 142 5
129 130 4
129 143 5
130 131 4
130 144 4
131 132 5
131 145 5
132 133 4
132 146 3
133 134 1
133 147 3
134 135 1
134 148 3
135 136 1
135 149 4
136 137 2
136 150 3
137 138 4
137 151 2
138 139 4
138 152 4
139 140 4
139 153 2
140 154 1
141 142 3
141 155 2
142 143 5
142 156 1
143 144 2
143 157 1
144 145 4
144 158 3
145 146 3
145 159 1
146 147 2
146 160 5
147 148 2
147 161 5
148 149 1
148 162 4
149 150 1
149 163 1
150 151 5
150 164 3
151 152 4
151 165 4
152 153 1
152 166 5
153 154 1
153 167 3
154 168 3
155 156 5
155 169 5
156 157 5
156 170 5
157 158 1
157 171 3
158 159 1
158 172 5
159 160 5
159 173 3
160 161 5
160 174 4
161 162 5
161 175 5
162 163 5
162 176 3
163 164 4
163 177 4
164 165 5
164 178 1
165 166 5
165 179 5
166 167 2
166 180 1
167 168 3
167 181 5
168 182 3
169 170 1
169 183 4
170 171 3
170 184 5
171 172 3
171 185 1
172 173 1
172 186 2
173 174 4
173 187 1
174 175 2
174 188 4
175 176 3
175 189 4
176 177 3
176 190 5
177 178 1
177 191 2
178 179 2
178 192 1
179 180 4
179 193 4
180 181 5
180 194 1
181 182 2
181 195 3
182 196 5
183 184 1
184 185 5
185 186 1
186 187 5
187 188 4
188 189 2
189 190 5
190 191 1
191 192 2
192 193 3
193 194 1
194 195 5
195 196 3
1 183 1
2 184 2
3 185 3
4 186 4
5 187 2
6 188 5
7 189 3
8 190 4
9 191 3
10 192 2
11 193 2
12 194 4
13 195 3
14 196 4
1 14 4
15 28 4
29 42 4
43 56 2
57 70 3
71 84 5
85 98 3
99 112 3
113 126 2
127 140 5
141 154 5
155 168 3
169 182 1
183 196 4
