49 98
1 2 1
1 8 4
2 3 5
2 9 1
3 4 2
3 10 2
4 5 4
4 11 4
5 6 1
5 12 1
6 7 2
6 13 5
7 14 4
8 9 4
8 15 2
9 10 4
9 16 3
10 11 1
10 17 3
11 12 3
11 18 1
12 13 2
12 19 4
13 14 1
13 20 4
14 21 2
15 16 3
15 22 5
16 17 4
16 23 1
17 18 4
17 24 2
18 19 1
18 25 3
19 20 1
19 26 1
20 21 2
20 27 5
21 28 4
22 23 4
22 29 2
23 24 2
23 30 2
24 25 2
24 31 5
25 26 4
25 32 3
26 27 4
26 33 1
27 28 1
27 34 5
28 35 5
29 30 5
29 36 4
30 31 3
30 37 4
31 32 2
31 38 2
32 33 4
32 39 5
33 34 3
33 40 2
34 35 1
34 41 3
35 42 2
36 37 3
36 43 4
37 38 4
37 44 1
38 39 3
38 45 3
39 40 3
39 46 3
40 41 5
40 47 1
41 42 2
41 48 4
42 49 2
43 44 5
44 45 3
45 46 3
46 47 5
47 48 3
48 49 2
1 43 5
2 44 3
3 45 4
4 46 5
5 47 4
6 48 3
7 49 3
1 7 4
8 14 1
15 21 3
22 28 4
29 35 5
36 42 2
43 49 4
