49 98
1 2 5
1 8 1
2 3 5
2 9 5
3 4 5
3 10 4
4 5 1
4 11 3
5 6 1
5 12 3
6 7 1
6 13 5
7 14 3
8 9 5
8 15 2
9 10 5
9 16 5
10 11 3
10 17 3
11 12 4
11 18 2
12 13 4
12 19 1
13 14 4
13 20 3
14 21 1
15 16 2
15 22 3
16 17 5
16 23 1
17 18 3
17 24 4
18 19 4
18 25 3
19 20 2
19 26 1
20 21 3
20 27 2
21 28 4
22 23 2
22 29 2
23 24 2
23 30 4
24 25 3
24 31 3
25 26 4
25 32 3
26 27 3
26 33 4
27 28 1
27 34 4
28 35 3
29 30 3
29 36 5
30 31 5
30 37 4
31 32 1
31 38 5
32 33 4
32 39 1
33 34 4
33 40 1
34 35 4
34 41 2
35 42 3
36 37 4
36 43 1
37 38 3
37 44 2
38 39 1
38 45 4
39 40 5
39 46 5
40 41 1
40 47 4
41 42 3
41 48 1
42 49 1
43 44 4
44 45 1
45 46 1
46 47 3
47 48 4
48 49 3
1 43 1
2 44 5
3 45 1
4 46 3
5 47 2
6 48 4
7 49 2
1 7 1
8 14 4
15 21 5
22 28 5
29 35 1
36 42 1
43 49 5
