196 392
1 2 1
1 15 1
2 3 2
2 16 4
3 4 4
3 17 2
4 5 1
4 18 3
5 6 4
5 19 4
6 7 5
6 20 4
7 8 1
7 21 1
8 9 5
8 22 5
9 10 4
9 23 4
10 11 3
10 24 5
11 12 4
11 25 3
12 13 4
12 26 4
13 14 5
13 27 4
14 28 1
15 16 3
15 29 3
16 17 3
16 30 2
17 18 3
17 31 1
18 19 2
18 32 3
19 20 2
19 33 4
20 21 2
20 34 3
21 22 3
21 35 1
22 23 2
22 36 1
23 24 1
23 37 5
24 25 2
24 38 1
25 26 4
25 39 2
26 27 3
26 40 4
27 28 1
27 41 1
28 42 3
29 30 4
29 43 2
30 31 1
30 44 5
31 32 5
31 45 5
32 33 2
32 46 5
33 34 4
33 47 1
34 35 3
34 48 1
35 36 2
35 49 1
36 37 4
36 50 2
37 38 5
37 51 3
38 39 2
38 52 1
39 40 1
39 53 3
40 41 4
40 54 3
41 42 3
41 55 2
42 56 2
43 44 4
43 57 2
44 45 5
44 58 2
45 46 1
45 59 5
46 47 3
46 60 4
47 48 5
47 61 5
48 49 4
48 62 1
49 50 4
49 63 5
50 51 4
50 64 3
51 52 1
51 65 3
52 53 4
52 66 2
53 54 5
53 67 1
54 55 2
54 68 4
55 56 4
55 69 3
56 70 2
57 58 2
57 71 5
58 59 3
58 72 2
59 60 3
59 73 5
60 61 1
60 74 1
61 62 2
61 75 5
62 63 4
62 76 5
63 64 4
63 77 5
64 65 4
64 78 3
65 66 3
65 79 2
66 67 5
66 80 4
67 68 3
67 81 2
68 69 1
68 82 4
69 70 3
69 83 2
70 84 4
71 72 5
71 85 2
72 73 5
72 86 2
73 74 1
73 87 1
74 75 3
74 88 4
75 76 2
75 89 3
76 77 3
76 90 1
77 78 2
77 91 4
78 79 1
78 92 4
79 80 5
79 93 3
80 81 3
80 94 5
81 82 4
81 95 4
82 83 5
82 96 4
83 84 3
83 97 3
84 98 3
85 86 5
85 99 1
86 87 1
86 100 5
87 88 5
87 101 5
88 89 4
88 102 4
89 90 1
89 103 2
90 91 1
90 104 3
91 92 5
91 105 4
92 93 3
92 106 3
93 94 4
93 107 1
94 95 1
94 108 1
95 96 5
95 109 2
96 97 3
96 110 5
97 98 2
97 111 4
98 112 3
99 100 5
99 113 2
100 101 5
100 114 1
101 102 3
101 115 1
102 103 5
102 116 2
103 104 3
103 117 1
104 105 3
104 118 4
105 106 5
105 119 5
106 107 5
106 120 3
107 108 5
107 121 2
108 109 5
108 122 5
109 110 5
109 123 5
110 111 5
110 124 1
111 112 3
111 125 5
112 126 4
113 114 1
113 127 5
114 115 2
114 128 4
115 116 1
115 129 2
116 117 4
116 130 5
117 118 4
117 131 4
118 119 1
118 132 2
119 120 1
119 133 5
120 121 4
120 134 4
121 122 2
121 135 2
122 123 1
122 136 1
123 124 5
123 137 4
124 125 4
124 138 2
125 126 3
125 139 4
126 140 4
127 128 1
127 141 5
128 129 4
128 142 2
129 130 2
129 143 5
130 131 4
130 144 2
131 132 3
131 145 3
132 133 5
132 146 1
133 134 1
133 147 4
134 135 2
134 148 5
135 136 5
135 149 5
136 137 4
136 150 4
137 138 4
137 151 4
138 139 1
138 152 1
139 140 5
139 153 3
140 154 2
141 142 4
141 155 1
142 143 5
142 156 5
143 144 5
143 157 3
144 145 2
144 158 4
145 146 3
145 159 5
146 147 2
146 160 3
147 148 4
147 161 3
148 149 5
148 162 5
149 150 1
149 163 4
150 151 4
150 164 4
151 152 1
151 165 4
152 153 4
152 166 5
153 154 3
153 167 2
154 168 3
155 156 2
155 169 4
156 157 2
156 170 4
157 158 4
157 171 3
158 159 1
158 172 2
159 160 4
159 173 5
160 161 3
160 174 1
161 162 2
161 175 1
162 163 3
162 176 4
163 164 1
163 177 5
164 165 3
164 178 3
165 166 4
165 179 4
166 167 2
166 180 2
167 168 3
167 181 5
168 182 4
169 170 1
169 183 4
170 171 2
170 184 5
171 172 2
171 185 1
172 173 1
172 186 3
173 174 5
173 187 1
174 175 5
174 188 2
175 176 2
175 189 2
176 177 2
176 190 4
177 178 3
177 191 3
178 179 3
178 192 2
179 180 2
179 193 1
180 181 1
180 194 5
181 182 2
181 195 4
182 196 3
183 184 2
184 185 3
185 186 2
186 187 5
187 188 4
188 189 5
189 190 3
190 191 2
191 192 5
192 193 2
193 194 4
194 195 5
195 196 1
1 183 3
2 184 2
3 185 1
4 186 2
5 187 3
6 188 5
7 189 2
8 190 4
9 191 5
10 192 2
11 193 2
12 194 5
13 195 4
14 196 5
1 14 5
15 28 4
29 42 5
43 56 5
57 70 1
71 84 4
85 98 3
99 112 5
113 126 2
127 140 4
141 154 4
155 168 5
169 182 3
183 196 4
