100 200
1 2 2
1 11 1
2 3 3
2 12 3
3 4 1
3 13 1
4 5 2
4 14 5
5 6 3
5 15 5
6 7 1
6 16 5
7 8 3
7 17 5
8 9 4
8 18 4
9 10 5
9 19 3
10 20 2
11 12 3
11 21 2
12 13 4
12 22 3
13 14 4
13 23 1
14 15 5
14 24 3
15 16 3
15 25 4
16 17 4
16 26 4
17 18 4
17 27 1
18 19 4
18 28 4
19 20 1
19 29 4
20 30 1
21 22 5
21 31 5
22 23 5
22 32 2
23 24 4
23 33 5
24 25 1
24 34 4
25 26 4
25 35 1
26 27 2
26 36 3
27 28 2
27 37 5
28 29 5
28 38 1
29 30 1
29 39 3
30 40 2
31 32 5
31 41 5
32 33 4
32 42 1
33 34 3
33 43 4
34 35 2
34 44 1
35 36 5
35 45 4
36 37 1
36 46 5
37 38 5
37 47 2
38 39 3
38 48 4
39 40 4
39 49 1
40 50 5
41 42 2
41 51 5
42 43 4
42 52 3
43 44 4
43 53 1
44 45 1
44 54 1
45 46 3
45 55 2
46 47 4
46 56 1
47 48 2
47 57 2
48 49 4
48 58 1
49 50 4
49 59 1
50 60 2
51 52 3
51 61 1
52 53 3
52 62 2
53 54 5
53 63 4
54 55 5
54 64 2
55 56 5
55 65 4
56 57 1
56 66 3
57 58 1
57 67 5
58 59 2
58 68 1
59 60 4
59 69 3
60 70 3
61 62 5
61 71 5
62 63 3
62 72 4
63 64 3
63 73 2
64 65 1
64 74 1
65 66 2
65 75 4
66 67 2
66 76 1
67 68 1
67 77 4
68 69 5
68 78 1
69 70 5
69 79 4
70 80 3
71 72 4
71 81 1
72 73 2
72 82 1
73 74 3
73 83 5
74 75 4
74 84 3
75 76 1
75 85 2
76 77 3
76 86 5
77 78 2
77 87 3
78 79 3
78 88 2
79 80 4
79 89 2
80 90 3
81 82 3
81 91 3
82 83 1
82 92 2
83 84 1
83 93 3
84 85 2
84 94 3
85 86 1
85 95 1
86 87 1
86 96 5
87 88 5
87 97 2
88 89 1
88 98 2
89 90 3
89 99 2
90 100 3
91 92 5
92 93 3
93 94 5
94 95 4
95 96 1
96 97 3
97 98 3
98 99 5
99 100 2
1 91 1
2 92 4
3 93 4
4 94 3
5 95 5
6 96 2
7 97 5
8 98 2
9 99 1
10 100 2
1 10 5
11 20 2
21 30 1
31 40 3
41 50 4
51 60 2
61 70 3
71 80 1
81 90 3
91 100 1
