196 392
1 2 5
1 15 1
2 3 4
2 16 1
3 4 3
3 17 1
4 5 4
4 18 4
5 6 5
5 19 2
6 7 2
6 20 5
7 8 2
7 21 5
8 9 2
8 22 4
9 10 2
9 23 5
10 11 3
10 24 1
11 12 1
11 25 4
12 13 3
12 26 5
13 14 4
13 27 3
14 28 3
15 16 4
15 29 2
16 17 2
16 30 1
17 18 4
17 31 2
18 19 5
18 32 5
19 20 3
19 33 1
20 21 1
20 34 5
21 22 2
21 35 4
22 23 1
22 36 4
23 24 1
23 37 2
24 25 5
24 38 3
25 26 2
25 39 2
26 27 1
26 40 1
27 28 3
27 41 1
28 42 1
29 30 2
29 43 5
30 31 3
30 44 4
31 32 4
31 45 4
32 33 2
32 46 4
33 34 3
33 47 4
34 35 1
34 48 5
35 36 2
35 49 4
36 37 4
36 50 5
37 38 5
37 51 4
38 39 2
38 52 3
39 40 4
39 53 3
40 41 5
40 54 2
41 42 2
41 55 4
42 56 4
43 44 2
43 57 3
44 45 4
44 58 2
45 46 2
45 59 3
46 47 3
46 60 3
47 48 1
47 61 5
48 49 3
48 62 1
49 50 4
49 63 4
50 51 2
50 64 5
51 52 5
51 65 1
52 53 5
52 66 5
53 54 2
53 67 2
54 55 1
54 68 4
55 56 2
55 69 2
56 70 5
57 58 2
57 71 2
58 59 5
58 72 5
59 60 5
59 73 5
60 61 1
60 74 1
61 62 1
61 75 2
62 63 5
62 76 3
63 64 4
63 77 2
64 65 4
64 78 4
65 66 1
65 79 3
66 67 2
66 80 4
67 68 2
67 81 1
68 69 4
68 82 5
69 70 3
69 83 5
70 84 4
71 72 5
71 85 5
72 73 3
72 86 4
73 74 4
73 87 1
74 75 3
74 88 2
75 76 2
75 89 3
76 77 4
76 90 4
77 78 5
77 91 2
78 79 3
78 92 2
79 80 2
79 93 3
80 81 1
80 94 4
81 82 3
81 95 2
82 83 5
82 96 1
83 84 5
83 97 3
84 98 2
85 86 5
85 99 5
86 87 2
86 100 5
87 88 2
87 101 3
88 89 3
88 102 5
89 90 4
89 103 5
90 91 2
90 104 1
91 92 3
91 105 3
92 93 4
92 106 1
93 94 3
93 107 3
94 95 5
94 108 1
95 96 2
95 109 5
96 97 1
96 110 5
97 98 5
97 111 4
98 112 3
99 100 1
99 113 1
100 101 4
100 114 5
101 102 1
101 115 4
102 103 1
102 116 2
103 104 4
103 117 4
104 105 2
104 118 5
105 106 3
105 119 3
106 107 2
106 120 4
107 108 3
107 121 2
108 109 1
108 122 4
109 110 2
109 123 1
110 111 3
110 124 5
111 112 5
111 125 4
112 126 3
113 114 4
113 127 1
114 115 2
114 128 4
115 116 2
115 129 4
116 117 4
116 130 5
117 118 1
117 131 5
118 119 4
118 132 4
119 120 3
119 133 2
120 121 2
120 134 3
121 122 2
121 135 3
122 123 4
122 136 2
123 124 1
123 137 5
124 125 5
124 138 5
125 126 5
125 139 5
126 140 2
127 128 4
127 141 1
128 129 4
128 142 5
129 130 1
129 143 2
130 131 4
130 144 2
131 132 2
131 145 2
132 133 3
132 146 1
133 134 2
133 147 2
134 135 3
134 148 2
135 136 3
135 149 2
136 137 4
136 150 5
137 138 1
137 151 3
138 139 3
138 152 3
139 140 1
139 153 1
140 154 5
141 142 2
141 155 3
142 143 1
142 156 3
143 144 2
143 157 3
144 145 5
144 158 3
145 146 3
145 159 1
146 147 3
146 160 5
147 148 4
147 161 1
148 149 1
148 162 1
149 150 3
149 163 1
150 151 2
150 164 4
151 152 2
151 165 3
152 153 2
152 166 2
153 154 2
153 167 4
154 168 1
155 156 5
155 169 2
156 157 1
156 170 1
157 158 3
157 171 3
158 159 5
158 172 4
159 160 5
159 173 1
160 161 2
160 174 2
161 162 2
161 175 1
162 163 1
162 176 1
163 164 2
163 177 2
164 165 2
164 178 5
165 166 1
165 179 5
166 167 3
166 180 4
167 168 2
167 181 5
168 182 1
169 170 5
169 183 2
170 171 1
170 184 3
171 172 3
171 185 1
172 173 5
172 186 2
173 174 2
173 187 3
174 175 2
174 188 1
175 176 5
175 189 4
176 177 1
176 190 2
177 178 1
177 191 5
178 179 3
178 192 3
179 180 4
179 193 5
180 181 3
180 194 1
181 182 1
181 195 2
182 196 4
183 184 5
184 185 5
185 186 5
186 187 4
187 188 1
188 189 4
189 190 3
190 191 1
191 192 5
192 193 4
193 194 1
194 195 5
195 196 3
1 183 3
2 184 1
3 185 5
4 186 3
5 187 4
6 188 5
7 189 3
8 190 3
9 191 5
10 192 1
11 193 2
12 194 5
13 195 3
14 196 4
1 14 3
15 28 3
29 42 5
43 56 5
57 70 5
71 84 3
85 98 5
99 112 2
113 126 5
127 140 4
141 154 1
155 168 4
169 182 2
183 196 4
