49 98
1 2 1
1 8 3
2 3 2
2 9 5
3 4 3
3 10 2
4 5 4
4 11 1
5 6 2
5 12 5
6 7 3
6 13 1
7 14 3
8 9 3
8 15 4
9 10 4
9 16 2
10 11 1
10 17 5
11 12 1
11 18 5
12 13 1
12 19 2
13 14 2
13 20 4
14 21 4
15 16 3
15 22 2
16 17 2
16 23 3
17 18 4
17 24 3
18 19 2
18 25 2
19 20 3
19 26 3
20 21 1
20 27 2
21 28 3
22 23 1
22 29 1
23 24 2
23 30 1
24 25 3
24 31 1
25 26 5
25 32 4
26 27 1
26 33 2
27 28 2
27 34 3
28 35 5
29 30 5
29 36 1
30 31 4
30 37 2
31 32 5
31 38 5
32 33 4
32 39 4
33 34 1
33 40 5
34 35 1
34 41 1
35 42 3
36 37 1
36 43 5
37 38 4
37 44 1
38 39 5
38 45 5
39 40 2
39 46 3
40 41 1
40 47 5
41 42 3
41 48 5
42 49 3
43 44 3
44 45 4
45 46 2
46 47 2
47 48 2
48 49 1
1 43 3
2 44 2
3 45 2
4 46 3
5 47 5
6 48 5
7 49 3
1 7 5
8 14 3
15 21 4
22 28 5
29 35 2
36 42 1
43 49 4
