49 98
1 2 3
1 8 3
2 3 4
2 9 1
3 4 2
3 10 2
4 5 3
4 11 1
5 6 4
5 12 5
6 7 3
6 13 2
7 14 4
8 9 3
8 15 5
9 10 4
9 16 1
10 11 1
10 17 3
11 12 2
11 18 1
12 13 1
12 19 3
13 14 1
13 20 1
14 21 4
15 16 2
15 22 5
16 17 3
16 23 1
17 18 5
17 24 2
18 19 5
18 25 1
19 20 5
19 26 3
20 21 5
20 27 5
21 28 4
22 23 1
22 29 5
23 24 2
23 30 1
24 25 1
24 31 4
25 26 1
25 32 1
26 27 5
26 33 2
27 28 3
27 34 5
28 35 3
29 30 1
29 36 1
30 31 2
30 37 4
31 32 5
31 38 2
32 33 1
32 39 4
33 34 1
33 40 3
34 35 2
34 41 5
35 42 4
36 37 4
36 43 5
37 38 1
37 44 1
38 39 3
38 45 5
39 40 2
39 46 5
40 41 4
40 47 4
41 42 5
41 48 5
42 49 1
43 44 2
44 45 2
45 46 3
46 47 3
47 48 5
48 49 4
1 43 4
2 44 1
3 45 1
4 46 1
5 47 3
6 48 4
7 49 5
1 7 3
8 14 1
15 21 5
22 28 3
29 35 5
36 42 2
43 49 5
