49 98
1 2 3
1 8 5
2 3 2
2 9 5
3 4 5
3 10 4
4 5 3
4 11 2
5 6 1
5 12 3
6 7 1
6 13 3
7 14 1
8 9 5
8 15 2
9 10 3
9 16 2
10 11 4
10 17 3
11 12 4
11 18 4
12 13 1
12 19 1
13 14 2
13 20 5
14 21 3
15 16 3
15 22 4
16 17 4
16 23 3
17 18 5
17 24 5
18 19 2
18 25 4
19 20 1
19 26 2
20 21 4
20 27 1
21 28 3
22 23 4
22 29 4
23 24 4
23 30 4
24 25 4
24 31 2
25 26 3
25 32 2
26 27 4
26 33 5
27 28 3
27 34 3
28 35 5
29 30 2
29 36 3
30 31 2
30 37 5
31 32 5
31 38 4
32 33 1
32 39 1
33 34 3
33 40 5
34 35 2
34 41 5
35 42 2
36 37 1
36 43 5
37 38 4
37 44 3
38 39 1
38 45 2
39 40 2
39 46 2
40 41 5
40 47 5
41 42 3
41 48 2
42 49 2
43 44 4
44 45 1
45 46 1
46 47 5
47 48 5
48 49 3
1 43 2
2 44 2
3 45 4
4 46 5
5 47 3
6 48 5
7 49 3
1 7 2
8 14 4
15 21 5
22 28 3
29 35 1
36 42 5
43 49 1
