49 98
1 2 1
1 8 2
2 3 4
2 9 2
3 4 2
3 10 2
4 5 1
4 11 3
5 6 3
5 12 1
6 7 1
6 13 3
7 14 2
8 9 1
8 15 5
9 10 5
9 16 4
10 11 3
10 17 3
11 12 1
11 18 1
12 13 2
12 19 4
13 14 5
13 20 5
14 21 5
15 16 2
15 22 3
16 17 5
16 23 4
17 18 5
17 24 4
18 19 1
18 25 1
19 20 4
19 26 4
20 21 4
20 27 5
21 28 2
22 23 3
22 29 4
23 24 5
23 30 4
24 25 5
24 31 3
25 26 4
25 32 4
26 27 3
26 33 5
27 28 3
27 34 2
28 35 4
29 30 1
29 36 4
30 31 1
30 37 5
31 32 4
31 38 3
32 33 5
32 39 2
33 34 3
33 40 4
34 35 1
34 41 5
35 42 4
36 37 1
36 43 5
37 38 3
37 44 5
38 39 5
38 45 5
39 40 3
39 46 5
40 41 3
40 47 4
41 42 1
41 48 2
42 49 1
43 44 4
44 45 3
45 46 2
46 47 2
47 48 4
48 49 1
1 43 1
2 44 5
3 45 2
4 46 5
5 47 3
6 48 2
7 49 3
1 7 4
8 14 1
15 21 2
22 28 1
29 35 1
36 42 1
43 49 3
