49 98
1 2 1
1 8 4
2 3 3
2 9 5
3 4 1
3 10 3
4 5 3
4 11 5
5 6 3
5 12 1
6 7 4
6 13 5
7 14 5
8 9 2
8 15 3
9 10 2
9 16 1
10 11 4
10 17 3
11 12 2
11 18 4
12 13 4
12 19 1
13 14 3
13 20 1
14 21 4
15 16 2
15 22 4
16 17 4
16 23 4
17 18 3
17 24 5
18 19 2
18 25 2
19 20 4
19 26 3
20 21 1
20 27 4
21 28 3
22 23 2
22 29 1
23 24 1
23 30 1
24 25 1
24 31 1
25 26 2
25 32 2
26 27 5
26 33 4
27 28 1
27 34 1
28 35 3
29 30 3
29 36 5
30 31 2
30 37 1
31 32 3
31 38 5
32 33 3
32 39 5
33 34 1
33 40 5
34 35 4
34 41 1
35 42 3
36 37 4
36 43 1
37 38 5
37 44 5
38 39 2
38 45 3
39 40 1
39 46 4
40 41 4
40 47 5
41 42 2
41 48 5
42 49 2
43 44 5
44 45 4
45 46 5
46 47 1
47 48 2
48 49 5
1 43 4
2 44 4
3 45 2
4 46 5
5 47 3
6 48 3
7 49 2
1 7 3
8 14 5
15 21 2
22 28 3
29 35 5
36 42 1
43 49 1
